date,name,ticker,open,high,low,close,volume
2022-06-13,KASE,KASE_INDEX,2679.17,2681.46,2642.77,2664.14,316.3
2022-06-14,KASE,KASE_INDEX,2665.44,2678.49,2650.71,2678.45,39.08
2022-06-15,KASE,KASE_INDEX,2677.86,2677.86,2642.09,2648.73,100.07
2022-06-16,KASE,KASE_INDEX,2647.73,2662.11,2645.08,2649.56,186.15
2022-06-17,KASE,KASE_INDEX,2649.53,2649.69,2584.56,2617.15,478.07
2022-06-20,KASE,KASE_INDEX,2617.22,2639.49,2613.73,2627.17,838.32
2022-06-21,KASE,KASE_INDEX,2625.4,2645.58,2618.81,2634.89,331.14
2022-06-22,KASE,KASE_INDEX,2635.73,2651.04,2631.92,2641.55,1119.15
2022-06-23,KASE,KASE_INDEX,2641.55,2648.89,2631.93,2644.94,449.13
2022-06-24,KASE,KASE_INDEX,2644.94,2661.78,2642.61,2658.11,561.35
2022-06-27,KASE,KASE_INDEX,2658.08,2694.19,2638.26,2673.42,611.04
2022-06-28,KASE,KASE_INDEX,2648.38,2667.15,2644.35,2661.92,34.16
2022-06-29,KASE,KASE_INDEX,2661.92,2684.84,2661.73,2674.45,34.56
2022-06-30,KASE,KASE_INDEX,2674.45,2674.72,2653.93,2674.72,22.13
2022-07-01,KASE,KASE_INDEX,2673.31,2676.15,2658.83,2674.63,1593.63
2022-07-04,KASE,KASE_INDEX,2674.44,2682.83,2656.16,2668.89,45.53
2022-07-05,KASE,KASE_INDEX,2668.88,2695.96,2667.99,2694.96,52.79
2022-07-07,KASE,KASE_INDEX,2694.96,2694.97,2666.61,2668.03,180.96
2022-07-08,KASE,KASE_INDEX,2668.03,2677.96,2658.01,2676.19,172.57
2022-07-11,KASE,KASE_INDEX,2673.24,2687.94,2666.19,2687.94,54.47
2022-07-12,KASE,KASE_INDEX,2688.67,2693.5,2680.75,2692.81,65.68
2022-07-13,KASE,KASE_INDEX,2691.96,2700.72,2668.57,2668.57,592.97
2022-07-14,KASE,KASE_INDEX,2668.27,2680.94,2662.11,2679.41,63.51
2022-07-15,KASE,KASE_INDEX,2677.21,2680.02,2636.91,2647.09,33.74
2022-07-18,KASE,KASE_INDEX,2658.85,2673.32,2649.35,2668.75,58.07
2022-07-19,KASE,KASE_INDEX,2668.79,2685.06,2660.97,2683.06,32.92
2022-07-20,KASE,KASE_INDEX,2690.06,2717.65,2687.63,2710.44,81.41
2022-07-21,KASE,KASE_INDEX,2709.15,2758.36,2708.98,2753.86,86.71
2022-07-22,KASE,KASE_INDEX,2753.86,2786.2,2745.69,2786.2,720.07
2022-07-25,KASE,KASE_INDEX,2786.2,2786.34,2753.11,2757.15,814.35
2022-07-26,KASE,KASE_INDEX,2759.8,2833.98,2747.11,2819.34,151.89
2022-07-27,KASE,KASE_INDEX,2819.34,2881.23,2819.34,2867.36,159.63
2022-07-28,KASE,KASE_INDEX,2867.32,2917.21,2865.57,2905.38,171.86
2022-07-29,KASE,KASE_INDEX,2905.35,2961.14,2905.35,2953.54,170.7
2022-08-01,KASE,KASE_INDEX,2953.54,2971.57,2939.43,2968.62,97.15
2022-08-02,KASE,KASE_INDEX,2968.81,2971.01,2932.51,2949.41,85.22
2022-08-03,KASE,KASE_INDEX,2948.42,2967.89,2947.08,2954.52,574.7
2022-08-04,KASE,KASE_INDEX,2955.13,2972.17,2945.7,2967.76,58.56
2022-08-05,KASE,KASE_INDEX,2967.53,2988.56,2948.19,2974.18,132.22
2022-08-08,KASE,KASE_INDEX,2972.89,3004.94,2968.2,3000.38,64.25
2022-08-09,KASE,KASE_INDEX,2999.24,3018.7,2985.04,3017.28,46.36
2022-08-10,KASE,KASE_INDEX,3015.75,3019.98,2998.14,3003.54,70.2
2022-08-11,KASE,KASE_INDEX,3003.7,3024.8,2999.17,3019.09,85.95
2022-08-12,KASE,KASE_INDEX,3019.09,3022.97,3003.28,3022.27,531.33
2022-08-15,KASE,KASE_INDEX,3021.35,3033.61,3002.39,3028.05,106.4
